country,revenue,orders,customers,aov
United Kingdom,14723147.517,33541,5350,438.95970653826663
EIRE,621631.11,567,5,1096.351164021164
Netherlands,554232.34,228,22,2430.843596491228
Germany,431262.461,789,107,546.5937401774398
France,355257.47,614,95,578.5952280130292
Australia,169968.11000000002,95,15,1789.1380000000001
Spain,109178.53,154,41,708.9514935064935
Switzerland,100365.34,90,22,1115.1704444444445
Sweden,91549.72,104,19,880.2857692307692
Denmark,69862.19,43,12,1624.7020930232559
Belgium,65753.42,149,29,441.29812080536914
Norway,60109.62,45,13,1335.7693333333334
Portugal,57285.3,93,24,615.9709677419355
Japan,47138.39,33,10,1428.4360606060607
Channel Islands,44996.76,55,13,818.1229090909092
Italy,32550.42,65,17,500.7756923076923
Finland,29925.54,57,14,525.0094736842105
Singapore,25317.059999999998,11,1,2301.550909090909
Cyprus,24980.13,37,11,675.1386486486487
Austria,23613.010000000002,45,13,524.7335555555557
Greece,19096.19,18,5,1060.8994444444443
Poland,10902.45,28,6,389.3732142857143
Israel,10421.09,7,4,1488.7271428571428
United Arab Emirates,9202.69,11,4,836.6081818181818
Unspecified,8613.65,16,6,538.353125
USA,8366.86,20,9,418.343
Malta,8099.09,9,2,899.8988888888889
Lithuania,6553.74,6,1,1092.29
Iceland,5633.32,8,1,704.165
Canada,4883.04,8,5,610.38
Thailand,3070.54,2,1,1535.27
RSA,1933.74,2,2,966.87
Lebanon,1693.88,1,1,1693.88
Brazil,1411.87,2,2,705.935
Bahrain,1354.37,4,2,338.5925
European Community,1300.25,4,1,325.0625
Korea,1118.51,2,2,559.255
Czech Republic,826.74,2,1,413.37
West Indies,536.41,1,1,536.41
Saudi Arabia,145.92,1,1,145.92
Nigeria,140.39000000000001,2,1,70.19500000000001
