customerid,orders,revenue,first_purchase,last_purchase,is_repeat_buyer
12346,12,77556.46,2009-12-14 08:34:00,2011-01-18 10:01:00,True
12347,8,5633.32,2010-10-31 14:20:00,2011-12-07 15:52:00,True
12348,5,2019.3999999999999,2010-09-27 14:59:00,2011-09-25 13:13:00,True
12349,4,4428.69,2010-04-29 13:20:00,2011-11-21 09:51:00,True
12350,1,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,False
12351,1,300.93,2010-11-29 15:23:00,2010-11-29 15:23:00,False
12352,10,2849.84,2010-11-12 10:20:00,2011-11-03 14:37:00,True
12353,2,406.76,2010-10-27 12:44:00,2011-05-19 17:47:00,True
12354,1,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,False
12355,2,947.61,2010-05-21 11:59:00,2011-05-09 13:49:00,True
12356,6,6373.68,2010-10-11 09:42:00,2011-11-17 08:40:00,True
12357,3,18287.66,2010-11-16 10:05:00,2011-11-06 16:07:00,True
12358,5,3887.07,2009-12-08 07:59:00,2011-12-08 10:26:00,True
12359,10,8935.939999999999,2009-12-05 13:32:00,2011-10-13 12:47:00,True
12360,8,4252.889999999999,2010-02-22 09:32:00,2011-10-18 15:22:00,True
12361,4,511.25,2010-01-26 14:37:00,2011-02-25 13:51:00,True
12362,11,5356.23,2009-12-01 10:10:00,2011-12-06 15:40:00,True
12363,2,552.0,2011-04-11 13:29:00,2011-08-22 10:18:00,True
12364,4,1313.1,2011-08-19 15:24:00,2011-12-02 10:22:00,True
12365,2,641.38,2011-02-21 13:51:00,2011-02-21 14:04:00,True
12366,1,500.24,2010-03-16 10:28:00,2010-03-16 10:28:00,False
12367,1,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,False
12368,1,917.6999999999999,2010-03-21 15:56:00,2010-03-21 15:56:00,False
12369,3,1791.1499999999999,2010-03-08 08:09:00,2010-10-22 13:13:00,True
12370,7,4320.3099999999995,2010-02-09 09:41:00,2011-10-19 14:51:00,True
12371,5,4067.38,2010-03-04 18:23:00,2011-10-26 10:16:00,True
12372,3,1298.04,2011-02-16 12:46:00,2011-09-29 12:12:00,True
12373,3,1127.65,2010-02-04 12:08:00,2011-02-01 13:10:00,True
12374,4,2989.2200000000003,2010-04-30 14:01:00,2011-11-14 15:37:00,True
12375,2,457.5,2011-09-02 14:23:00,2011-11-29 10:36:00,True
12376,2,503.15,2010-10-18 08:42:00,2010-11-15 12:15:00,True
12377,4,3426.32,2010-04-29 15:34:00,2011-01-28 15:45:00,True
12378,2,5416.32,2010-05-26 14:07:00,2011-08-02 10:34:00,True
12379,4,1620.22,2010-06-23 12:49:00,2011-09-19 10:09:00,True
12380,11,9676.300000000001,2010-02-15 12:05:00,2011-11-18 11:27:00,True
12381,5,1845.31,2011-08-12 09:57:00,2011-12-05 12:44:00,True
12383,5,1850.56,2010-12-22 14:28:00,2011-06-08 08:02:00,True
12384,2,585.27,2011-08-10 11:23:00,2011-11-11 08:39:00,True
12385,1,1938.4,2010-11-25 15:14:00,2010-11-25 15:14:00,False
12386,2,660.8,2010-12-08 09:53:00,2011-01-06 12:37:00,True
12387,1,143.94,2010-10-20 16:27:00,2010-10-20 16:27:00,False
12388,8,3901.11,2010-05-06 12:54:00,2011-11-24 12:30:00,True
12389,3,1433.33,2010-02-22 10:15:00,2010-11-02 11:52:00,True
12390,1,549.84,2011-09-21 09:33:00,2011-09-21 09:33:00,False
12391,6,2773.42,2010-02-15 10:12:00,2011-11-18 12:07:00,True
12392,1,234.75000000000003,2010-04-27 14:04:00,2010-04-27 14:04:00,False
12393,6,2399.45,2010-10-07 13:49:00,2011-09-28 15:41:00,True
12394,2,1272.48,2011-05-06 14:01:00,2011-10-07 08:08:00,True
12395,15,5067.27,2010-04-16 10:16:00,2011-11-20 15:21:00,True
12396,1,931.43,2010-02-03 13:22:00,2010-02-03 13:22:00,False
12397,2,2409.8999999999996,2011-07-27 14:21:00,2011-11-04 09:52:00,True
12398,1,1635.6599999999999,2011-10-25 10:27:00,2011-10-25 10:27:00,False
12399,7,1962.3000000000002,2010-03-05 08:45:00,2011-08-12 13:15:00,True
12400,1,205.25,2010-10-21 13:45:00,2010-10-21 13:45:00,False
12401,1,84.3,2011-02-09 13:50:00,2011-02-09 13:50:00,False
12402,6,1256.9,2010-02-07 12:41:00,2011-01-20 13:49:00,True
12403,2,1019.3600000000001,2010-07-06 11:39:00,2011-10-21 10:51:00,True
12404,1,63.24,2010-01-26 16:25:00,2010-01-26 16:25:00,False
12405,1,1710.39,2011-07-14 08:52:00,2011-07-14 08:52:00,False
12406,5,6390.360000000001,2010-01-11 14:04:00,2011-11-17 19:22:00,True
12407,5,1708.12,2011-03-20 13:21:00,2011-10-21 10:11:00,True
12408,8,4340.7699999999995,2010-07-29 13:27:00,2011-11-07 12:27:00,True
12409,7,23419.29,2010-05-23 15:21:00,2011-09-22 10:38:00,True
12410,3,1013.7099999999999,2010-07-25 13:26:00,2011-02-04 10:39:00,True
12411,1,346.9,2010-10-26 09:25:00,2010-10-26 09:25:00,False
12412,6,2596.93,2010-06-18 13:22:00,2011-09-26 10:16:00,True
12413,4,999.45,2010-11-02 13:26:00,2011-10-04 09:00:00,True
12414,6,952.41,2010-09-02 12:22:00,2011-05-06 14:51:00,True
12415,28,144458.37,2010-06-30 08:30:00,2011-11-15 14:22:00,True
12416,1,202.56,2010-02-21 10:19:00,2010-02-21 10:19:00,False
12417,20,6816.91,2009-12-06 10:30:00,2011-12-06 14:52:00,True
12418,4,2021.2,2010-03-19 14:47:00,2011-08-19 11:08:00,True
12419,2,503.01,2010-10-22 10:40:00,2010-11-19 10:04:00,True
12420,1,600.39,2011-10-07 08:55:00,2011-10-07 08:55:00,False
12421,6,1098.6,2010-07-22 13:57:00,2011-11-24 09:07:00,True
12422,17,5231.8,2009-12-18 12:44:00,2011-09-05 09:48:00,True
12423,10,2622.39,2010-08-31 09:31:00,2011-12-09 10:10:00,True
12424,4,3340.03,2010-06-09 15:15:00,2011-06-30 12:06:00,True
12425,2,1741.41,2010-09-17 14:10:00,2011-09-22 17:31:00,True
12426,2,1345.21,2010-02-15 08:41:00,2011-05-29 12:26:00,True
12427,3,1129.3,2010-12-03 10:44:00,2011-11-18 08:56:00,True
12428,9,7956.46,2011-03-01 09:33:00,2011-11-14 08:22:00,True
12429,8,7485.91,2010-06-11 13:28:00,2011-11-30 17:22:00,True
12430,1,256.4,2011-10-27 15:09:00,2011-10-27 15:09:00,False
12431,27,10857.97,2010-01-15 09:04:00,2011-11-04 11:55:00,True
12432,5,5059.32,2011-06-20 13:27:00,2011-10-28 11:43:00,True
12433,10,20581.26,2010-08-20 09:23:00,2011-12-09 10:02:00,True
12434,3,1103.43,2010-11-23 13:38:00,2011-09-16 12:38:00,True
12435,6,13925.93,2009-12-02 13:58:00,2011-09-21 09:06:00,True
12436,1,509.01,2011-09-01 12:09:00,2011-09-01 12:09:00,False
12437,39,12683.4,2009-12-02 16:24:00,2011-12-08 11:35:00,True
12438,2,2906.85,2011-07-22 13:29:00,2011-11-25 13:28:00,True
12439,2,1158.18,2009-12-14 08:40:00,2010-01-26 12:11:00,True
12440,2,859.2,2009-12-22 12:03:00,2010-09-03 13:11:00,True
12441,1,347.1,2010-12-08 10:45:00,2010-12-08 10:45:00,False
12442,1,172.06,2011-12-06 14:22:00,2011-12-06 14:22:00,False
12443,1,485.31,2009-12-07 15:42:00,2009-12-07 15:42:00,False
12444,5,5005.46,2011-06-21 14:00:00,2011-11-18 13:23:00,True
12445,2,434.98,2010-10-15 12:28:00,2011-11-17 18:43:00,True
12446,1,1002.3100000000001,2011-10-13 12:50:00,2011-10-13 12:50:00,False
12447,1,476.49,2011-04-10 13:25:00,2011-04-10 13:25:00,False
12448,1,449.45,2011-10-26 13:46:00,2011-10-26 13:46:00,False
12449,6,4835.89,2010-09-27 09:37:00,2011-11-17 13:46:00,True
12450,5,688.2,2010-08-22 13:11:00,2011-07-06 14:41:00,True
12451,8,12669.88,2010-06-28 12:58:00,2011-11-29 08:40:00,True
12452,2,430.57,2011-11-23 08:05:00,2011-11-23 10:28:00,True
12453,1,707.09,2011-07-28 14:08:00,2011-07-28 14:08:00,False
12454,5,16679.78,2010-10-14 17:33:00,2011-10-14 17:13:00,True
12455,10,5879.95,2009-12-18 12:33:00,2011-09-27 15:31:00,True
12456,3,3181.04,2011-03-30 09:12:00,2011-10-26 14:41:00,True
12457,8,2995.91,2010-09-30 17:59:00,2011-10-04 13:13:00,True
12458,4,1777.49,2010-08-09 10:33:00,2011-09-29 15:25:00,True
12459,1,454.36,2010-04-13 14:53:00,2010-04-13 14:53:00,False
12460,1,326.65,2010-09-09 13:51:00,2010-09-09 13:51:00,False
12461,2,826.88,2011-07-08 10:23:00,2011-09-06 16:57:00,True
12462,2,1189.5900000000001,2011-02-09 14:44:00,2011-11-21 09:11:00,True
12463,4,1344.78,2011-04-12 12:47:00,2011-10-17 13:44:00,True
12464,8,1212.05,2011-02-03 13:30:00,2011-11-29 13:33:00,True
12465,2,742.19,2011-06-23 13:37:00,2011-11-22 16:34:00,True
12466,1,56.73,2010-01-26 16:26:00,2010-01-26 16:26:00,False
12467,1,132.8,2010-10-12 15:41:00,2010-10-12 15:41:00,False
12468,5,3670.74,2010-01-26 10:09:00,2011-06-05 11:36:00,True
12469,2,3070.54,2010-06-21 10:30:00,2010-07-05 12:40:00,True
12470,1,211.95,2010-01-19 11:01:00,2010-01-19 11:01:00,False
12471,79,39963.79,2009-12-07 10:41:00,2011-12-07 15:43:00,True
12472,19,17880.59,2009-12-14 10:49:00,2011-11-07 14:01:00,True
12473,5,3938.55,2011-06-01 10:15:00,2011-11-10 13:46:00,True
12474,31,12424.45,2010-02-11 09:41:00,2011-11-22 14:39:00,True
12475,2,1149.6399999999999,2010-10-26 08:49:00,2011-10-17 10:10:00,True
12476,23,14115.41,2010-07-26 09:04:00,2011-11-24 12:40:00,True
12477,9,20276.37,2010-03-26 14:01:00,2011-11-17 09:51:00,True
12478,1,680.99,2011-12-06 09:56:00,2011-12-06 09:56:00,False
12479,1,527.2,2011-11-28 13:26:00,2011-11-28 13:26:00,False
12480,7,5464.85,2010-07-20 13:21:00,2011-11-11 14:52:00,True
12481,15,12361.39,2010-04-11 13:10:00,2011-11-17 08:29:00,True
12482,29,23691.4,2010-02-24 10:24:00,2010-05-12 16:51:00,True
12483,19,5120.58,2010-01-31 13:28:00,2011-11-22 17:02:00,True
12484,12,6370.150000000001,2010-01-27 16:41:00,2011-11-07 11:37:00,True
12485,1,708.1,2010-06-28 15:22:00,2010-06-28 15:22:00,False
12486,1,1037.28,2010-10-04 12:14:00,2010-10-04 12:14:00,False
12487,1,285.29999999999995,2009-12-09 11:36:00,2009-12-09 11:36:00,False
12488,3,1298.66,2011-09-25 10:34:00,2011-11-30 08:50:00,True
12489,1,334.93,2011-01-07 13:13:00,2011-01-07 13:13:00,False
12490,21,9823.64,2009-12-01 12:52:00,2011-12-04 16:07:00,True
12491,1,460.40000000000003,2011-11-01 12:18:00,2011-11-01 12:18:00,False
12492,3,715.21,2010-11-01 14:58:00,2011-10-07 15:15:00,True
12493,2,433.74,2011-05-26 14:53:00,2011-06-27 10:17:00,True
12494,9,1872.8700000000001,2010-05-12 13:52:00,2011-11-24 09:34:00,True
12495,1,357.4,2010-03-09 10:53:00,2010-03-09 10:53:00,False
12496,2,54.09,2010-03-29 13:57:00,2010-03-29 14:06:00,True
12497,3,6248.5,2010-03-05 09:39:00,2011-09-19 12:29:00,True
12498,3,403.7,2011-10-13 09:30:00,2011-11-18 12:53:00,True
12499,1,393.72,2010-05-28 15:12:00,2010-05-28 15:12:00,False
12500,19,5955.21,2010-02-04 15:05:00,2011-11-16 16:20:00,True
12501,1,2169.39,2011-01-07 12:28:00,2011-01-07 12:28:00,False
12502,5,3723.87,2011-02-03 10:41:00,2011-09-05 11:52:00,True
12503,1,1126.0,2010-05-04 13:59:00,2010-05-04 13:59:00,False
12504,4,779.05,2010-04-22 10:24:00,2011-11-21 16:02:00,True
12505,1,955.2,2010-10-27 09:18:00,2010-10-27 09:18:00,False
12506,1,73.5,2011-04-21 08:54:00,2011-04-21 08:54:00,False
12507,4,1844.06,2010-05-04 09:23:00,2011-07-28 17:09:00,True
12508,2,398.27,2011-11-10 16:27:00,2011-11-13 15:37:00,True
12509,1,176.5,2011-02-28 14:45:00,2011-02-28 14:45:00,False
12510,9,5178.02,2009-12-04 13:47:00,2011-07-20 10:15:00,True
12511,1,3084.02,2010-10-07 10:39:00,2010-10-07 10:39:00,False
12512,2,138.03,2011-10-04 14:53:00,2011-10-04 14:55:00,True
12513,1,612.29,2011-08-19 10:51:00,2011-08-19 10:51:00,False
12514,2,1597.76,2010-03-08 12:18:00,2011-03-17 16:38:00,True
12515,1,383.7,2010-12-21 15:43:00,2010-12-21 15:43:00,False
12516,4,2648.62,2010-04-19 14:14:00,2011-09-23 09:13:00,True
12517,5,2502.84,2011-06-02 15:13:00,2011-11-11 14:04:00,True
12518,5,2056.89,2011-08-21 13:18:00,2011-12-09 10:13:00,True
12519,2,726.54,2010-08-20 08:21:00,2011-10-07 09:26:00,True
12520,5,2634.26,2011-03-11 11:35:00,2011-09-21 15:23:00,True
12521,1,599.68,2011-07-20 10:51:00,2011-07-20 10:51:00,False
12522,2,192.72,2011-10-19 14:41:00,2011-10-31 15:30:00,True
12523,23,4372.15,2009-12-07 13:46:00,2011-11-20 12:55:00,True
