invoice,invoicedate,customerid,items,qty,revenue,country,month,order_month,cohort_month,month_index
489434,2009-12-01 07:45:00,13085,8,166,505.3,United Kingdom,2009-12-01,2009-12,2009-12,0
489435,2009-12-01 07:46:00,13085,4,60,145.79999999999998,United Kingdom,2009-12-01,2009-12,2009-12,0
489436,2009-12-01 09:06:00,13078,19,193,630.33,United Kingdom,2009-12-01,2009-12,2009-12,0
489437,2009-12-01 09:08:00,15362,23,145,310.75,United Kingdom,2009-12-01,2009-12,2009-12,0
489438,2009-12-01 09:24:00,18102,17,826,2286.24,United Kingdom,2009-12-01,2009-12,2009-12,0
489439,2009-12-01 09:28:00,12682,19,219,426.3,France,2009-12-01,2009-12,2009-12,0
489440,2009-12-01 09:43:00,18087,2,16,50.4,United Kingdom,2009-12-01,2009-12,2009-12,0
489441,2009-12-01 09:44:00,18087,4,102,344.34000000000003,United Kingdom,2009-12-01,2009-12,2009-12,0
489442,2009-12-01 09:46:00,13635,23,275,382.37,United Kingdom,2009-12-01,2009-12,2009-12,0
489443,2009-12-01 09:50:00,14110,7,120,285.06,United Kingdom,2009-12-01,2009-12,2009-12,0
489444,2009-12-01 09:55:00,12636,1,1,141.0,USA,2009-12-01,2009-12,2009-12,0
489445,2009-12-01 09:57:00,17519,19,280,308.44,United Kingdom,2009-12-01,2009-12,2009-12,0
489446,2009-12-01 10:06:00,13758,27,382,996.1,United Kingdom,2009-12-01,2009-12,2009-12,0
489447,2009-12-01 10:10:00,12362,1,1,130.0,Belgium,2009-12-01,2009-12,2009-12,0
489448,2009-12-01 10:18:00,15413,4,192,570.24,United Kingdom,2009-12-01,2009-12,2009-12,0
489450,2009-12-01 10:36:00,16321,9,100,196.10000000000002,Australia,2009-12-01,2009-12,2009-12,0
489460,2009-12-01 10:46:00,16167,15,977,485.79,United Kingdom,2009-12-01,2009-12,2009-12,0
489461,2009-12-01 10:49:00,17865,26,379,589.33,United Kingdom,2009-12-01,2009-12,2009-12,0
489462,2009-12-01 10:49:00,17592,13,38,148.3,United Kingdom,2009-12-01,2009-12,2009-12,0
489465,2009-12-01 10:52:00,13767,19,408,1197.8000000000002,United Kingdom,2009-12-01,2009-12,2009-12,0
489488,2009-12-01 10:59:00,17238,30,80,251.1,United Kingdom,2009-12-01,2009-12,2009-12,0
489505,2009-12-01 11:17:00,15712,10,64,255.5,United Kingdom,2009-12-01,2009-12,2009-12,0
489514,2009-12-01 11:21:00,15311,32,326,823.02,United Kingdom,2009-12-01,2009-12,2009-12,0
489517,2009-12-01 11:34:00,16329,38,138,282.46000000000004,United Kingdom,2009-12-01,2009-12,2009-12,0
489519,2009-12-01 11:37:00,17700,38,247,696.73,United Kingdom,2009-12-01,2009-12,2009-12,0
489520,2009-12-01 11:41:00,14911,30,293,733.63,EIRE,2009-12-01,2009-12,2009-12,0
489522,2009-12-01 11:45:00,15998,104,409,700.31,United Kingdom,2009-12-01,2009-12,2009-12,0
489523,2009-12-01 11:46:00,12931,1,800,1160.0,United Kingdom,2009-12-01,2009-12,2009-12,0
489526,2009-12-01 11:50:00,12533,44,484,929.92,Germany,2009-12-01,2009-12,2009-12,0
489529,2009-12-01 11:51:00,17984,50,212,229.46,United Kingdom,2009-12-01,2009-12,2009-12,0
489531,2009-12-01 11:57:00,14871,14,54,145.0,United Kingdom,2009-12-01,2009-12,2009-12,0
489532,2009-12-01 11:58:00,13394,20,353,304.53000000000003,United Kingdom,2009-12-01,2009-12,2009-12,0
489533,2009-12-01 12:02:00,16011,22,67,192.75,United Kingdom,2009-12-01,2009-12,2009-12,0
489536,2009-12-01 12:13:00,16393,130,216,367.40999999999997,United Kingdom,2009-12-01,2009-12,2009-12,0
489537,2009-12-01 12:14:00,14040,59,250,633.33,United Kingdom,2009-12-01,2009-12,2009-12,0
489539,2009-12-01 12:18:00,15061,17,1598,2887.14,United Kingdom,2009-12-01,2009-12,2009-12,0
489540,2009-12-01 12:18:00,12913,5,188,537.96,United Kingdom,2009-12-01,2009-12,2009-12,0
489542,2009-12-01 12:19:00,15061,2,264,387.6,United Kingdom,2009-12-01,2009-12,2009-12,0
489544,2009-12-01 12:20:00,14341,14,226,281.82,United Kingdom,2009-12-01,2009-12,2009-12,0
489545,2009-12-01 12:22:00,17804,32,92,124.95,United Kingdom,2009-12-01,2009-12,2009-12,0
489546,2009-12-01 12:30:00,14156,33,212,584.5,EIRE,2009-12-01,2009-12,2009-12,0
489547,2009-12-01 12:30:00,13599,22,595,641.45,United Kingdom,2009-12-01,2009-12,2009-12,0
489550,2009-12-01 12:33:00,14156,23,232,482.3,EIRE,2009-12-01,2009-12,2009-12,0
489552,2009-12-01 12:36:00,17063,25,129,278.61,United Kingdom,2009-12-01,2009-12,2009-12,0
489556,2009-12-01 12:47:00,15719,59,176,379.65,United Kingdom,2009-12-01,2009-12,2009-12,0
489557,2009-12-01 12:52:00,12490,21,442,603.94,France,2009-12-01,2009-12,2009-12,0
489558,2009-12-01 12:54:00,15793,4,154,291.58000000000004,United Kingdom,2009-12-01,2009-12,2009-12,0
489559,2009-12-01 12:55:00,17056,8,26,128.60000000000002,United Kingdom,2009-12-01,2009-12,2009-12,0
489560,2009-12-01 12:56:00,13526,30,1585,859.0999999999999,United Kingdom,2009-12-01,2009-12,2009-12,0
489561,2009-12-01 12:57:00,14654,27,273,246.86,United Kingdom,2009-12-01,2009-12,2009-12,0
489562,2009-12-01 13:07:00,17998,39,107,229.6,United Kingdom,2009-12-01,2009-12,2009-12,0
489564,2009-12-01 13:13:00,13526,14,326,322.9,United Kingdom,2009-12-01,2009-12,2009-12,0
489566,2009-12-01 13:16:00,17742,8,35,218.54999999999998,United Kingdom,2009-12-01,2009-12,2009-12,0
489567,2009-12-01 13:19:00,15326,20,150,307.8,United Kingdom,2009-12-01,2009-12,2009-12,0
489569,2009-12-01 13:20:00,14478,18,312,282.28,United Kingdom,2009-12-01,2009-12,2009-12,0
489571,2009-12-01 13:29:00,15967,30,50,156.71,United Kingdom,2009-12-01,2009-12,2009-12,0
489572,2009-12-01 13:29:00,17611,83,273,507.49,United Kingdom,2009-12-01,2009-12,2009-12,0
489573,2009-12-01 13:29:00,15051,32,306,580.02,United Kingdom,2009-12-01,2009-12,2009-12,0
489574,2009-12-01 13:31:00,13097,65,313,551.33,United Kingdom,2009-12-01,2009-12,2009-12,0
489575,2009-12-01 13:37:00,13590,22,300,367.28000000000003,United Kingdom,2009-12-01,2009-12,2009-12,0
489576,2009-12-01 13:38:00,15984,17,178,319.66,United Kingdom,2009-12-01,2009-12,2009-12,0
489579,2009-12-01 13:41:00,16887,34,177,219.82,United Kingdom,2009-12-01,2009-12,2009-12,0
489580,2009-12-01 13:43:00,12921,8,276,261.0,United Kingdom,2009-12-01,2009-12,2009-12,0
489581,2009-12-01 13:47:00,15945,10,137,124.83000000000001,United Kingdom,2009-12-01,2009-12,2009-12,0
489582,2009-12-01 13:47:00,14543,9,125,293.95,United Kingdom,2009-12-01,2009-12,2009-12,0
489584,2009-12-01 13:48:00,18037,1,1,21.95,United Kingdom,2009-12-01,2009-12,2009-12,0
489585,2009-12-01 13:49:00,15662,4,67,105.85,United Kingdom,2009-12-01,2009-12,2009-12,0
489586,2009-12-01 13:50:00,15380,6,98,263.42,United Kingdom,2009-12-01,2009-12,2009-12,0
489590,2009-12-01 14:14:00,13110,27,87,362.78000000000003,United Kingdom,2009-12-01,2009-12,2009-12,0
489593,2009-12-01 14:19:00,12836,30,95,423.87,United Kingdom,2009-12-01,2009-12,2009-12,0
489594,2009-12-01 14:19:00,15005,51,181,322.33,United Kingdom,2009-12-01,2009-12,2009-12,0
489598,2009-12-01 14:35:00,16620,50,575,822.37,United Kingdom,2009-12-01,2009-12,2009-12,0
489599,2009-12-01 14:40:00,12758,79,1403,2454.68,Portugal,2009-12-01,2009-12,2009-12,0
489606,2009-12-01 14:48:00,17961,1,1,2.1,United Kingdom,2009-12-01,2009-12,2009-12,0
489611,2009-12-01 14:53:00,15601,1,1,2.95,United Kingdom,2009-12-01,2009-12,2009-12,0
489613,2009-12-01 14:56:00,13585,1,1,12.75,United Kingdom,2009-12-01,2009-12,2009-12,0
489617,2009-12-01 14:59:00,13442,16,42,198.0,United Kingdom,2009-12-01,2009-12,2009-12,0
489634,2009-12-01 15:19:00,13381,1,12,17.4,United Kingdom,2009-12-01,2009-12,2009-12,0
489635,2009-12-01 15:26:00,16763,21,173,352.85,United Kingdom,2009-12-01,2009-12,2009-12,0
489637,2009-12-01 15:36:00,17243,20,157,535.9,United Kingdom,2009-12-01,2009-12,2009-12,0
489639,2009-12-01 16:05:00,14865,1,48,31.200000000000003,United Kingdom,2009-12-01,2009-12,2009-12,0
489640,2009-12-01 16:17:00,17345,27,600,329.90999999999997,United Kingdom,2009-12-01,2009-12,2009-12,0
489641,2009-12-01 16:18:00,13819,30,462,622.1,United Kingdom,2009-12-01,2009-12,2009-12,0
489644,2009-12-01 16:30:00,15808,26,317,896.5400000000001,United Kingdom,2009-12-01,2009-12,2009-12,0
489645,2009-12-01 16:34:00,17191,32,97,261.74,United Kingdom,2009-12-01,2009-12,2009-12,0
489650,2009-12-01 16:44:00,13748,7,90,173.1,United Kingdom,2009-12-01,2009-12,2009-12,0
489652,2009-12-01 17:08:00,15265,17,146,294.14,United Kingdom,2009-12-01,2009-12,2009-12,0
489654,2009-12-01 17:19:00,15750,30,115,222.12,United Kingdom,2009-12-01,2009-12,2009-12,0
489656,2009-12-01 17:28:00,17428,22,401,1237.3,United Kingdom,2009-12-01,2009-12,2009-12,0
489657,2009-12-01 17:28:00,17428,3,32,55.2,United Kingdom,2009-12-01,2009-12,2009-12,0
489658,2009-12-01 17:31:00,15485,21,249,828.09,United Kingdom,2009-12-01,2009-12,2009-12,0
489661,2009-12-01 17:45:00,17246,4,34,23.48,United Kingdom,2009-12-01,2009-12,2009-12,0
489662,2009-12-01 17:50:00,15485,1,25,73.75,United Kingdom,2009-12-01,2009-12,2009-12,0
489664,2009-12-01 18:03:00,14061,11,57,374.43,United Kingdom,2009-12-01,2009-12,2009-12,0
489665,2009-12-01 18:07:00,14108,10,118,252.3,United Kingdom,2009-12-01,2009-12,2009-12,0
489666,2009-12-01 18:13:00,13648,15,203,263.09000000000003,United Kingdom,2009-12-01,2009-12,2009-12,0
489667,2009-12-01 18:35:00,16563,10,221,538.46,United Kingdom,2009-12-01,2009-12,2009-12,0
489668,2009-12-01 19:19:00,16701,8,198,378.12,United Kingdom,2009-12-01,2009-12,2009-12,0
489669,2009-12-02 08:15:00,12842,3,168,397.20000000000005,United Kingdom,2009-12-01,2009-12,2009-12,0
489670,2009-12-02 08:16:00,14302,2,28,114.60000000000001,United Kingdom,2009-12-01,2009-12,2009-12,0
489671,2009-12-02 08:58:00,14135,8,966,740.3,United Kingdom,2009-12-01,2009-12,2009-12,0
489672,2009-12-02 09:21:00,14831,32,421,772.65,United Kingdom,2009-12-01,2009-12,2009-12,0
489673,2009-12-02 09:23:00,14831,4,34,61.099999999999994,United Kingdom,2009-12-01,2009-12,2009-12,0
489674,2009-12-02 09:35:00,15602,17,266,261.3,United Kingdom,2009-12-01,2009-12,2009-12,0
489675,2009-12-02 09:47:00,13777,22,1930,4939.22,United Kingdom,2009-12-01,2009-12,2009-12,0
489676,2009-12-02 09:49:00,13777,5,840,1210.8,United Kingdom,2009-12-01,2009-12,2009-12,0
489677,2009-12-02 09:50:00,14000,2,48,192.0,United Kingdom,2009-12-01,2009-12,2009-12,0
489678,2009-12-02 09:57:00,16823,20,113,189.29999999999998,United Kingdom,2009-12-01,2009-12,2009-12,0
489679,2009-12-02 10:00:00,16163,42,280,795.98,United Kingdom,2009-12-01,2009-12,2009-12,0
489680,2009-12-02 10:02:00,17193,1,36,45.0,United Kingdom,2009-12-01,2009-12,2009-12,0
489681,2009-12-02 10:02:00,17998,11,183,89.59,United Kingdom,2009-12-01,2009-12,2009-12,0
489682,2009-12-02 10:08:00,15759,4,303,125.73,United Kingdom,2009-12-01,2009-12,2009-12,0
489683,2009-12-02 10:09:00,16131,46,721,1317.97,United Kingdom,2009-12-01,2009-12,2009-12,0
489684,2009-12-02 10:15:00,14560,9,116,266.6,United Kingdom,2009-12-01,2009-12,2009-12,0
489687,2009-12-02 10:41:00,17087,12,113,221.53,United Kingdom,2009-12-01,2009-12,2009-12,0
489688,2009-12-02 10:42:00,14894,3,54,299.70000000000005,United Kingdom,2009-12-01,2009-12,2009-12,0
