month,orders,customers,revenue,aov,mom_growth
2009-12-01,1512,955,686654.16,454.1363492063492,
2010-01-01,1011,720,557319.062,551.2552542037587,-0.18835551509656623
2010-02-01,1104,772,506371.066,458.6694438405797,-0.0914162092664974
2010-03-01,1524,1057,699608.991,459.06101771653545,0.38161328317285825
2010-04-01,1329,942,594609.192,447.4109796839729,-0.1500835471681352
2010-05-01,1377,966,599985.79,435.7195279593319,0.009042238284133308
2010-06-01,1497,1041,639066.58,426.8981830327321,0.0651361926421623
2010-07-01,1381,928,591636.74,428.4118320057929,-0.07421736871297502
2010-08-01,1293,911,604242.65,467.31836813611756,0.02130684108630576
2010-09-01,1689,1145,831615.001,492.371226169331,0.3762931183358209
2010-10-01,2133,1497,1036680.0,486.0196905766526,0.24658645978417115
2010-11-01,2587,1607,1172336.042,453.1642991882489,0.13085623528957813
2010-12-01,1400,885,884591.89,631.85135,-0.24544511274182923
2011-01-01,987,741,569445.04,576.9453292806485,-0.35626242288972376
2011-02-01,997,758,447137.35,448.4827983951855,-0.21478401146491688
2011-03-01,1321,974,595500.76,450.79542770628314,0.3318072399901284
2011-04-01,1149,856,469200.36100000003,408.35540557006095,-0.212091079447153
2011-05-01,1555,1056,678594.56,436.39521543408364,0.4462788531400981
2011-06-01,1393,991,661213.6900000001,474.66883704235465,-0.025613040576098922
2011-07-01,1331,949,600091.011,450.85725845229155,-0.092440129302223
2011-08-01,1280,935,645343.9,504.174921875,0.0754100430942799
2011-09-01,1755,1266,952838.382,542.9278529914529,0.47648158137080077
2011-10-01,1929,1364,1039318.79,538.7863089683774,0.09076083587069439
2011-11-01,2657,1664,1161817.3800000001,437.26660895747085,0.11786430802429737
2011-12-01,778,615,518210.79,666.080706940874,-0.5539653658822009
