stockcode,description,revenue,qty,orders
22423,REGENCY CAKESTAND 3 TIER,286486.3,24899,3317
85123A,WHITE HANGING HEART T-LIGHT HOLDER,252072.46,93640,4888
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1
M,Manual,152340.57,9803,620
85099B,JUMBO BAG RED RETROSPOT,136980.08,75759,2612
84879,ASSORTED COLOUR BIRD ORNAMENT,127074.17,79913,2652
POST,POSTAGE,126563.04,5333,1803
47566,PARTY BUNTING,103880.23000000001,23607,2077
23166,MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001,77916,195
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,79594.33,29477,1691
79321,CHILLI LIGHTS,72860.14,15735,922
21137,BLACK RECORD COVER FRAME,67209.44,19629,539
85099F,JUMBO BAG STRAWBERRY,64601.65,36098,1514
82484,WOOD BLACK BOARD ANT WHITE FINISH,60513.09,10893,1048
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,57779.17,29498,525
21621,VINTAGE UNION JACK BUNTING,54815.12,6542,1121
15056N,EDWARDIAN PARASOL NATURAL,54741.46,11027,863
85099C,JUMBO  BAG BAROQUE BLACK WHITE,53168.340000000004,29447,1449
22189,CREAM HEART CARD HOLDER,52627.29,18113,1129
22470,HEART OF WICKER LARGE,52157.68,17866,1743
21623,VINTAGE UNION JACK MEMOBOARD,51465.619999999995,7158,499
23084,RABBIT NIGHT LIGHT,51346.2,27202,801
21733,RED HANGING HEART T-LIGHT HOLDER,50010.85,17643,1631
21931,JUMBO STORAGE BAG SUKI,48255.8,26239,1714
22112,CHOCOLATE HOT WATER BOTTLE,47555.840000000004,10326,1447
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,47240.020000000004,17294,1233
15056BL,EDWARDIAN PARASOL BLACK,46676.22,9488,788
22178,VICTORIAN GLASS HANGING T-LIGHT,46440.91,37851,1442
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,45784.63,24690,1680
21181,PLEASE ONE PERSON METAL SIGN,45035.100000000006,22724,1399
22469,HEART OF WICKER SMALL,45020.95,27182,1779
22111,SCOTTIE DOG HOT WATER BOTTLE,44368.05,9487,1457
21843,RED RETROSPOT CAKE STAND,44314.89,4435,984
22386,JUMBO BAG PINK POLKADOT,43967.14,23934,1055
21929,JUMBO BAG PINK VINTAGE PAISLEY,43883.88,24431,1228
21754,HOME BUILDING BLOCK WORD,43837.76,7468,1831
22138,BAKING SET 9 PIECE RETROSPOT ,43155.060000000005,9052,1742
21731,RED TOADSTOOL LED NIGHT LIGHT,42913.71,27867,1043
21915,RED  HARMONICA IN BOX ,41939.65,37097,884
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,41555.54,14492,644
21175,GIN + TONIC DIET METAL SIGN,41373.380000000005,19958,1385
22457,NATURAL SLATE HEART CHALKBOARD ,41203.920000000006,14508,1637
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,40883.57,14855,1144
82494L,WOODEN FRAME ANTIQUE WHITE ,40870.82,14707,1773
48138,DOORMAT UNION FLAG,40720.3,6236,874
21232,STRAWBERRY CERAMIC TRINKET BOX,40675.380000000005,34726,1818
20727,LUNCH BAG  BLACK SKULL.,40586.2,25820,1997
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,61,2
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,37966.840000000004,14024,985
82482,WOODEN PICTURE FRAME WHITE FINISH,37679.6,15919,1658
